학년도,학기,학년,교과목 ID,국문 교과목,영문 교과목,이수구분,학점,시간,국문 개요,영문 개요,Department,Major
2026,1학기(여름학기포함),1학년,21501614,프로그래밍기초1,Programming I,전공기초,3,4,"본 과목은 UNIX 계열 운영체제 상에서 기초적인 표준 C 프로그래밍 방법을 익히는 것을 목표로 한다. 이를 위해 표준 C 프로그래밍 언어가 무엇인지 배우고, 변 수, 선언문, 반복문, 선택문, 배열, 함수 등의 사용방법 등을 실습을 통해 익히며, 팀 프로젝트를 진행하면서 팀원들 간의 의견 교환 방법 및 문제 해결 능력을 배양한다.","This course aims to teach basic standard C programming methods on UNIX-based operating systems. To achieve this, students will learn what the standard C programming language entails and practice using variables, declarations, loops, conditional statements, arrays, functions, and more. Through team projects, students will cultivate methods for exchanging opinions among team members and develop problem-solving skills.",AI대학,AI소프트웨어학부
2026,1학기(여름학기포함),1학년,21501616,프로그래밍기초2,Programming II,전공기초,3,4,"본 과목은 프로그래밍기초및실습에서 배운 기초 C 프로그래밍 지식을 바탕으로, 전처리기, 포인터, 기참조 구조체, 파일 처리 등을 사용하는 고급 프로그래밍과 간단한 시스템 프로그래밍에 대해 익히고, 디버거, 프로파일러, make 등과 같은 프로그래밍 도구에 대해서 학습한다. 또한, 실습과 팀프로젝트를 통해 의사소통 방법과 문제해결 능력을 배양한다.","This course builds upon the foundational C programming knowledge acquired in Programming Fundamentals and Practice. Students will learn advanced programming techniques using preprocessors, pointers, reference structures, and file handling, as well as simple system programming. They will also study programming tools such as debuggers, profilers, and make. Furthermore, through practical exercises and team projects, students will cultivate communication skills and problem-solving abilities.",AI대학,AI소프트웨어학부
2026,1학기(여름학기포함),1학년,21501622,기초AI수학,Fundamental AI Mathematics,전공선택,3,3,"본 과목은 인공지능 분야의 핵심 기초가 되는 미적분과 미분방정식을 다룬다. 전반부에서는 함수의 극한, 미분, 적분의 개념과 다변수 함수의 미적분을 학습하 며, 후반부에서는 1차 및 고차 미분방정식의 해법과 응용을 다룬다. 최적화 이론, 동적 시스템 모델링 등 인공지능 알고리즘의 수학적 원리를 이해하고 문제해결 능력을 배양한다.","This course covers calculus and differential equations as fundamental mathematics for artificial intelligence. The first half focuses on limits, differentiation, integration, and multivariable calculus, while the second half addresses first-order and higher-order differential equations and their applications. Students will understand mathematical principles of AI algorithms including gradient descent, optimization, and dynamic system modeling.",AI대학,AI소프트웨어학부
2026,1학기(여름학기포함),1학년,21501623,이산수학,Discrete Mathematics,전공기초,3,3,"본 과목에서는 소프트웨어 분야에서 자주 사용되는 수학 용어와 이론을 학습한다. 구체적으로 술어논리, 집합, 관계, 함수, 수학적 귀납법, 알고리즘, 재귀, 정 수론, 그래프, 트리, 불 대수 등 소프트웨어와 관련이 깊은 내용을 배운다.","This course covers mathematical terminology and theories frequently used in the field of software. Specifically, it covers topics deeply related to software, such as predicate logic, sets, relations, functions, mathematical induction, algorithms, recursion, number theory, graphs, trees, and Boolean algebra.",AI대학,AI소프트웨어학부
2026,2학기(겨울학기포함),1학년,21501614,프로그래밍기초1,Programming I,전공기초,3,4,"본 과목은 UNIX 계열 운영체제 상에서 기초적인 표준 C 프로그래밍 방법을 익히는 것을 목표로 한다. 이를 위해 표준 C 프로그래밍 언어가 무엇인지 배우고, 변 수, 선언문, 반복문, 선택문, 배열, 함수 등의 사용방법 등을 실습을 통해 익히며, 팀 프로젝트를 진행하면서 팀원들 간의 의견 교환 방법 및 문제 해결 능력을 배양한다.","This course aims to teach basic standard C programming methods on UNIX-based operating systems. To achieve this, students will learn what the standard C programming language entails and practice using variables, declarations, loops, conditional statements, arrays, functions, and more. Through team projects, students will cultivate methods for exchanging opinions among team members and develop problem-solving skills.",AI대학,AI소프트웨어학부
2026,2학기(겨울학기포함),1학년,21501616,프로그래밍기초2,Programming II,전공기초,3,4,"본 과목은 프로그래밍기초및실습에서 배운 기초 C 프로그래밍 지식을 바탕으로, 전처리기, 포인터, 기참조 구조체, 파일 처리 등을 사용하는 고급 프로그래밍과 간단한 시스템 프로그래밍에 대해 익히고, 디버거, 프로파일러, make 등과 같은 프로그래밍 도구에 대해서 학습한다. 또한, 실습과 팀프로젝트를 통해 의사소통 방법과 문제해결 능력을 배양한다.","This course builds upon the foundational C programming knowledge acquired in Programming Fundamentals and Practice. Students will learn advanced programming techniques using preprocessors, pointers, reference structures, and file handling, as well as simple system programming. They will also study programming tools such as debuggers, profilers, and make. Furthermore, through practical exercises and team projects, students will cultivate communication skills and problem-solving abilities.",AI대학,AI소프트웨어학부
2026,2학기(겨울학기포함),1학년,21501623,이산수학,Discrete Mathematics,전공기초,3,3,"본 과목에서는 소프트웨어 분야에서 자주 사용되는 수학 용어와 이론을 학습한다. 구체적으로 술어논리, 집합, 관계, 함수, 수학적 귀납법, 알고리즘, 재귀, 정 수론, 그래프, 트리, 불 대수 등 소프트웨어와 관련이 깊은 내용을 배운다.","This course covers mathematical terminology and theories frequently used in the field of software. Specifically, it covers topics deeply related to software, such as predicate logic, sets, relations, functions, mathematical induction, algorithms, recursion, number theory, graphs, trees, and Boolean algebra.",AI대학,AI소프트웨어학부
2026,2학기(겨울학기포함),1학년,21501624,창의적공학설계,Creative Engineering Design,전공선택,3,3,"본 과목은 문제 분석 및 해결 능력을 배양하는 것을 목표로 한다. 창의성 개발을 위한 창의적 발상법에 대한 이론을 학습하고, 실습을 통하여 창의적 문제 해결 능력 및 현장 중심적 문제 분석 능력을 배양한다. 또한 팀프로젝트를 통하여 팀워크 향상, 발표 및 보고서 작성을 통한 자기 표현 능력을 함양한다.","This course aims to cultivate problem analysis and solving skills. Students will learn theories on creative thinking methods for fostering creativity and develop creative problem-solving abilities and field-centered problem analysis skills through practical exercises. Additionally, through team projects, students will enhance teamwork and cultivate self-expression skills through presentations and report writing.",AI대학,AI소프트웨어학부
2026,2학기(겨울학기포함),1학년,21501627,오픈소스기초설계,Introduction to Open Source Design,전공선택,3,3,"본 과목은 오픈소스 소프트웨어의 개념, 라이선스, 협업 도구 및 개발 프로세스를 학습한다. Git과 GitHub를 활용한 버전 관리, 리눅스 시스템 기초 및 쉘 명령 어, 이슈 트래킹, 풀 리퀘스트 등 실제 오픈소스 프로젝트 참여에 필요한 실무 기술을 습득한다. 팀 프로젝트를 통해 오픈소스 생태계에서의 협업 경험을 쌓고, 코드 리뷰와 문서화 능력을 배양한다.","This course covers concepts of open source software, licenses, collaboration tools, and development processes. Students will acquire practical skills necessary for participating in open source projects, including version control using Git and GitHub, Linux system basics and shell commands, issue tracking, and pull requests. Through team projects, students will gain collaborative experience in the open source ecosystem and develop code review and documentation skills.",AI대학,AI소프트웨어학부
2026,1학기(여름학기포함),2학년,21501631,확률및통계,Probability and Statistics,전공기초,3,3,"본 과목에서는 자연 현상이나 사회적 현상을 수학적으로 예측하기 위해 필요한 기본적인 확률 및 통계 지식을 학습한다. 구체적으로 표본공간과 사상, 확률분포, 표본분포, 통계적 추론(추정 및 검정) 등의 통계학의 기초적인 개념과 이론을 학습한다.","This course covers the fundamental probability and statistics knowledge required to mathematically predict natural or social phenomena. Specifically, it covers the basic concepts and theories of statistics, including sample space and mapping, probability distributions, sample distributions, and statistical inference (estimation and hypothesis testing).",AI대학,AI소프트웨어학부
2026,1학기(여름학기포함),2학년,21501632,자료구조,Data Structure,전공필수,3,3,"자료구조는 프로그램에서 사용되는 데이터를 구성하는 방식과 이를 효율적으로 사용하는 방법과 관한 것이다. 본 과목은 List, Stack, Queue, Recursion, Tree, Graph, Sorting 등 기본적인 자료구조를 이해하고, 이에 대한 설계 및 분석 기법을 학습하여 실무에 적용할 수 있는 프로그래밍 능력 함양을 목표로 한다.","Data structures concern the methods of organizing data used in programs and how to utilize it efficiently. This course aims to cultivate practical programming skills by understanding fundamental data structures such as Lists, Stacks, Queues, Recursion, Trees, Graphs, and Sorting, and learning their design and analysis techniques for real-world application.",AI대학,AI소프트웨어학부
